Nuts Prov;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;SUMA
ES611;Almería;53;54;97;85;112;97;214;101;12;10;30;0;0;2;0;867
ES612;Cádiz;30;48;59;36;47;39;33;34;19;14;13;1;0;1;1;375
ES613;Córdoba;25;22;20;19;22;36;18;16;14;14;14;1;1;2;0;224
ES614;Granada;54;64;51;51;38;46;46;37;32;27;27;2;0;3;4;482
ES615;Huelva;22;25;11;15;18;8;18;12;7;13;6;0;1;2;0;158
ES616;Jaén;25;32;9;25;17;32;39;24;11;18;22;0;0;0;0;254
ES617;Málaga;82;68;41;61;92;51;42;43;26;34;35;2;0;0;2;579
ES618;Sevilla;165;166;149;179;185;139;105;77;89;54;60;2;2;3;4;1379
ES241;Huesca;25;13;13;14;7;10;13;11;8;5;1;0;0;0;0;120
ES242;Teruel;2;2;1;1;6;5;5;3;1;2;0;0;0;0;0;28
ES243;Zaragoza;204;192;220;192;162;138;129;141;126;35;30;0;2;1;0;1572
ES120;Asturias;43;73;45;49;37;33;46;23;33;30;26;3;3;0;2;446
ES705;Las Palmas;28;26;25;34;28;31;29;24;10;8;9;0;1;0;1;254
ES709;Santa Cruz de Tenerife;29;29;19;14;18;18;27;21;8;7;11;0;0;1;0;202
ES130;Cantabria;43;39;33;28;32;27;30;28;17;13;19;0;1;0;0;310
ES421;Albacete;29;24;30;28;22;21;16;13;7;7;12;0;0;1;0;210
ES422;Ciudad Real;18;18;21;14;15;26;26;16;12;9;11;0;0;0;0;186
ES423;Cuenca;1;6;2;5;6;7;6;10;3;4;1;0;0;0;2;53
ES424;Guadalajara;7;11;10;6;7;10;8;6;2;3;5;0;0;0;0;75
ES425;Toledo;19;21;15;15;16;14;9;12;10;3;6;1;1;0;1;143
ES411;Ávila;0;3;7;4;3;5;2;3;1;1;0;0;0;0;0;29
ES412;Burgos;20;21;22;25;18;14;24;27;8;5;24;1;2;0;1;212
ES413;León;18;23;18;17;20;17;10;8;13;5;17;0;0;1;0;167
ES414;Palencia;7;5;4;2;2;5;3;2;0;1;1;0;1;0;0;33
ES415;Salamanca;8;10;15;10;3;16;13;5;2;7;15;6;1;1;0;112
ES416;Segovia;2;4;5;1;6;6;8;6;0;3;3;0;0;0;0;44
ES417;Soria;3;4;1;2;2;3;2;0;3;3;1;0;0;0;1;25
ES418;Valladolid;39;31;49;35;34;51;30;38;27;31;25;0;0;0;3;393
ES419;Zamora;12;3;6;1;2;1;2;2;3;1;0;0;0;0;0;33
ES511;Barcelona;520;536;495;464;413;384;389;306;206;176;151;11;5;12;6;4074
ES512;Girona;54;45;38;42;60;43;35;29;17;12;19;2;0;1;0;397
ES513;Lleida;25;28;31;23;22;19;22;7;7;1;7;0;0;0;1;193
ES514;Tarragona;37;32;32;42;36;24;17;16;11;18;13;3;0;2;6;289
ES521;Alicante;119;106;101;105;101;103;97;102;66;63;61;6;0;4;5;1039
ES522;Castellón;45;48;31;36;30;30;22;22;21;16;18;2;2;2;0;325
ES523;Valencia;242;193;229;226;199;184;277;153;106;105;152;12;11;7;4;2100
ES431;Badajoz;28;27;24;22;20;41;28;15;5;8;5;0;0;0;0;223
ES432;Cáceres;15;7;12;5;8;13;10;4;4;7;2;0;1;1;0;89
ES111;A Coruña;93;93;107;76;69;82;66;49;43;23;34;3;8;2;2;750
ES112;Lugo;2;6;9;2;6;11;7;6;1;0;7;0;1;0;0;58
ES113;Ourense;12;14;6;26;12;18;35;6;3;2;3;0;0;0;0;137
ES114;Pontevedra;87;75;63;63;61;56;42;57;30;26;17;4;1;2;0;584
ES532;Illes Balears;21;16;33;22;22;23;18;22;12;11;19;2;0;0;2;223
ES230;La Rioja;33;22;38;31;25;27;17;24;9;9;6;0;1;1;3;246
ES300;Madrid;798;724;671;555;581;536;467;391;295;284;327;15;16;18;23;5701
ES620;Murcia;79;72;60;72;68;89;82;62;44;43;59;5;3;3;1;742
ES220;Navarra;124;107;91;79;76;56;50;58;39;39;34;4;5;2;0;764
ES211;Araba/Álava;45;30;34;21;26;21;16;19;16;13;7;0;1;0;1;250
ES212;Bizkaia;86;129;75;77;76;73;47;31;34;32;31;1;1;1;1;695
ES213;Gipuzkoa;83;82;81;69;66;60;46;45;42;30;35;0;2;0;1;642
ES630;Ceuta;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;5
ES640;Melilla;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3
;No residentes ES;217;196;216;218;224;221;178;175;159;159;124;5;11;8;21;2132
ES611;Almería;;;;;;;;;;;;0;1;0;0;
ES612;Cádiz;;;;;;;;;;;;1;2;0;1;
ES613;Córdoba;;;;;;;;;;;;0;1;2;0;
ES614;Granada;;;;;;;;;;;;3;1;2;2;
ES615;Huelva;;;;;;;;;;;;1;1;3;0;
ES616;Jaén;;;;;;;;;;;;0;0;0;0;
ES617;Málaga;;;;;;;;;;;;2;2;3;2;
ES618;Sevilla;;;;;;;;;;;;2;5;2;3;
ES241;Huesca;;;;;;;;;;;;0;0;0;0;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;4;3;3;1;
ES120;Asturias;;;;;;;;;;;;0;1;1;1;
ES705;Las Palmas;;;;;;;;;;;;2;4;0;1;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;0;0;1;
ES130;Cantabria;;;;;;;;;;;;1;1;1;3;
ES421;Albacete;;;;;;;;;;;;0;0;0;1;
ES422;Ciudad Real;;;;;;;;;;;;0;0;1;1;
ES423;Cuenca;;;;;;;;;;;;0;0;1;0;
ES424;Guadalajara;;;;;;;;;;;;0;1;1;1;
ES425;Toledo;;;;;;;;;;;;2;1;0;0;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;4;1;1;0;
ES413;León;;;;;;;;;;;;1;2;0;0;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;0;0;1;0;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;1;4;0;0;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;12;8;3;10;
ES512;Girona;;;;;;;;;;;;1;1;3;2;
ES513;Lleida;;;;;;;;;;;;0;1;0;1;
ES514;Tarragona;;;;;;;;;;;;1;0;1;2;
ES521;Alicante;;;;;;;;;;;;5;6;7;5;
ES522;Castellón;;;;;;;;;;;;1;1;1;1;
ES523;Valencia;;;;;;;;;;;;18;16;10;4;
ES431;Badajoz;;;;;;;;;;;;1;2;0;0;
ES432;Cáceres;;;;;;;;;;;;1;0;0;0;
ES111;A Coruña;;;;;;;;;;;;1;2;1;3;
ES112;Lugo;;;;;;;;;;;;0;1;0;0;
ES113;Ourense;;;;;;;;;;;;0;1;1;0;
ES114;Pontevedra;;;;;;;;;;;;2;0;4;1;
ES532;Illes Balears;;;;;;;;;;;;4;2;1;0;
ES230;La Rioja;;;;;;;;;;;;0;0;0;0;
ES300;Madrid;;;;;;;;;;;;14;15;15;13;
ES620;Murcia;;;;;;;;;;;;4;2;4;2;
ES220;Navarra;;;;;;;;;;;;4;1;6;3;
ES211;Araba/Álava;;;;;;;;;;;;1;0;1;1;
ES212;Bizkaia;;;;;;;;;;;;2;0;4;1;
ES213;Gipuzkoa;;;;;;;;;;;;7;1;1;2;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;7;18;11;7;
ES611;Almería;;;;;;;;;;;;3;0;4;0;
ES612;Cádiz;;;;;;;;;;;;2;3;2;1;
ES613;Córdoba;;;;;;;;;;;;1;2;2;0;
ES614;Granada;;;;;;;;;;;;0;1;2;2;
ES615;Huelva;;;;;;;;;;;;1;2;1;1;
ES616;Jaén;;;;;;;;;;;;2;2;0;1;
ES617;Málaga;;;;;;;;;;;;0;4;0;4;
ES618;Sevilla;;;;;;;;;;;;8;9;7;7;
ES241;Huesca;;;;;;;;;;;;0;2;2;0;
ES242;Teruel;;;;;;;;;;;;0;1;0;2;
ES243;Zaragoza;;;;;;;;;;;;2;0;2;1;
ES120;Asturias;;;;;;;;;;;;0;1;3;1;
ES705;Las Palmas;;;;;;;;;;;;1;2;1;1;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;1;0;0;
ES130;Cantabria;;;;;;;;;;;;1;1;0;2;
ES421;Albacete;;;;;;;;;;;;2;0;1;0;
ES422;Ciudad Real;;;;;;;;;;;;3;1;1;0;
ES423;Cuenca;;;;;;;;;;;;1;0;2;0;
ES424;Guadalajara;;;;;;;;;;;;0;2;0;0;
ES425;Toledo;;;;;;;;;;;;2;0;1;0;
ES411;Ávila;;;;;;;;;;;;1;0;0;0;
ES412;Burgos;;;;;;;;;;;;4;1;3;0;
ES413;León;;;;;;;;;;;;0;0;0;1;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;1;1;0;0;
ES416;Segovia;;;;;;;;;;;;0;0;1;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;0;3;0;0;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;10;21;10;9;
ES512;Girona;;;;;;;;;;;;0;1;2;1;
ES513;Lleida;;;;;;;;;;;;0;0;0;0;
ES514;Tarragona;;;;;;;;;;;;2;0;1;2;
ES521;Alicante;;;;;;;;;;;;7;9;5;2;
ES522;Castellón;;;;;;;;;;;;3;3;4;1;
ES523;Valencia;;;;;;;;;;;;13;6;4;7;
ES431;Badajoz;;;;;;;;;;;;1;0;0;1;
ES432;Cáceres;;;;;;;;;;;;0;0;0;0;
ES111;A Coruña;;;;;;;;;;;;7;3;2;2;
ES112;Lugo;;;;;;;;;;;;1;2;0;0;
ES113;Ourense;;;;;;;;;;;;0;0;1;1;
ES114;Pontevedra;;;;;;;;;;;;4;1;2;0;
ES532;Illes Balears;;;;;;;;;;;;1;1;2;0;
ES230;La Rioja;;;;;;;;;;;;0;0;0;1;
ES300;Madrid;;;;;;;;;;;;28;30;33;26;
ES620;Murcia;;;;;;;;;;;;2;2;8;4;
ES220;Navarra;;;;;;;;;;;;5;5;5;2;
ES211;Araba/Álava;;;;;;;;;;;;1;1;1;0;
ES212;Bizkaia;;;;;;;;;;;;2;3;0;1;
ES213;Gipuzkoa;;;;;;;;;;;;3;7;0;0;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;16;20;8;10;
ES611;Almería;;;;;;;;;;;;1;1;0;1;
ES612;Cádiz;;;;;;;;;;;;2;3;0;4;
ES613;Córdoba;;;;;;;;;;;;0;1;1;0;
ES614;Granada;;;;;;;;;;;;1;2;1;1;
ES615;Huelva;;;;;;;;;;;;1;0;0;1;
ES616;Jaén;;;;;;;;;;;;3;0;0;1;
ES617;Málaga;;;;;;;;;;;;2;5;6;0;
ES618;Sevilla;;;;;;;;;;;;3;6;3;6;
ES241;Huesca;;;;;;;;;;;;2;0;0;0;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;2;4;0;1;
ES120;Asturias;;;;;;;;;;;;3;1;0;0;
ES705;Las Palmas;;;;;;;;;;;;1;0;0;3;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;1;0;2;
ES130;Cantabria;;;;;;;;;;;;0;1;0;4;
ES421;Albacete;;;;;;;;;;;;1;0;0;0;
ES422;Ciudad Real;;;;;;;;;;;;2;0;1;0;
ES423;Cuenca;;;;;;;;;;;;0;1;0;0;
ES424;Guadalajara;;;;;;;;;;;;0;1;0;1;
ES425;Toledo;;;;;;;;;;;;0;0;1;1;
ES411;Ávila;;;;;;;;;;;;1;0;0;0;
ES412;Burgos;;;;;;;;;;;;7;7;1;0;
ES413;León;;;;;;;;;;;;0;0;2;1;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;2;0;0;1;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;1;0;1;4;
ES419;Zamora;;;;;;;;;;;;0;0;0;1;
ES511;Barcelona;;;;;;;;;;;;9;7;6;16;
ES512;Girona;;;;;;;;;;;;1;1;0;1;
ES513;Lleida;;;;;;;;;;;;0;0;0;0;
ES514;Tarragona;;;;;;;;;;;;0;2;0;2;
ES521;Alicante;;;;;;;;;;;;3;2;4;4;
ES522;Castellón;;;;;;;;;;;;3;4;1;0;
ES523;Valencia;;;;;;;;;;;;12;10;8;8;
ES431;Badajoz;;;;;;;;;;;;2;1;1;0;
ES432;Cáceres;;;;;;;;;;;;0;0;0;0;
ES111;A Coruña;;;;;;;;;;;;1;1;1;3;
ES112;Lugo;;;;;;;;;;;;0;0;0;0;
ES113;Ourense;;;;;;;;;;;;1;0;0;0;
ES114;Pontevedra;;;;;;;;;;;;1;4;2;2;
ES532;Illes Balears;;;;;;;;;;;;1;0;1;0;
ES230;La Rioja;;;;;;;;;;;;1;1;0;0;
ES300;Madrid;;;;;;;;;;;;18;25;13;26;
ES620;Murcia;;;;;;;;;;;;3;2;3;3;
ES220;Navarra;;;;;;;;;;;;3;2;2;3;
ES211;Araba/Álava;;;;;;;;;;;;0;0;1;0;
ES212;Bizkaia;;;;;;;;;;;;0;1;3;5;
ES213;Gipuzkoa;;;;;;;;;;;;1;2;7;0;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;9;16;12;19;
ES611;Almería;;;;;;;;;;;;0;0;3;2;
ES612;Cádiz;;;;;;;;;;;;2;2;1;2;
ES613;Córdoba;;;;;;;;;;;;0;3;0;2;
ES614;Granada;;;;;;;;;;;;5;5;1;1;
ES615;Huelva;;;;;;;;;;;;0;0;1;0;
ES616;Jaén;;;;;;;;;;;;1;0;2;2;
ES617;Málaga;;;;;;;;;;;;3;0;0;4;
ES618;Sevilla;;;;;;;;;;;;3;2;10;5;
ES241;Huesca;;;;;;;;;;;;1;1;0;1;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;1;1;0;3;
ES120;Asturias;;;;;;;;;;;;0;3;3;2;
ES705;Las Palmas;;;;;;;;;;;;0;1;1;0;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;1;1;0;
ES130;Cantabria;;;;;;;;;;;;0;0;0;1;
ES421;Albacete;;;;;;;;;;;;3;0;0;2;
ES422;Ciudad Real;;;;;;;;;;;;1;0;1;1;
ES423;Cuenca;;;;;;;;;;;;0;1;0;0;
ES424;Guadalajara;;;;;;;;;;;;0;0;0;0;
ES425;Toledo;;;;;;;;;;;;1;0;2;0;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;4;0;5;1;
ES413;León;;;;;;;;;;;;2;0;0;0;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;0;0;0;1;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;0;0;3;0;
ES419;Zamora;;;;;;;;;;;;1;0;1;0;
ES511;Barcelona;;;;;;;;;;;;12;11;12;4;
ES512;Girona;;;;;;;;;;;;0;1;1;0;
ES513;Lleida;;;;;;;;;;;;0;0;0;1;
ES514;Tarragona;;;;;;;;;;;;1;0;1;3;
ES521;Alicante;;;;;;;;;;;;6;1;5;9;
ES522;Castellón;;;;;;;;;;;;2;0;1;1;
ES523;Valencia;;;;;;;;;;;;5;8;11;9;
ES431;Badajoz;;;;;;;;;;;;2;0;0;0;
ES432;Cáceres;;;;;;;;;;;;0;0;1;3;
ES111;A Coruña;;;;;;;;;;;;4;2;2;4;
ES112;Lugo;;;;;;;;;;;;0;0;0;1;
ES113;Ourense;;;;;;;;;;;;0;0;0;0;
ES114;Pontevedra;;;;;;;;;;;;4;5;2;2;
ES532;Illes Balears;;;;;;;;;;;;1;1;4;0;
ES230;La Rioja;;;;;;;;;;;;1;0;0;3;
ES300;Madrid;;;;;;;;;;;;25;20;18;33;
ES620;Murcia;;;;;;;;;;;;7;0;4;5;
ES220;Navarra;;;;;;;;;;;;1;2;2;3;
ES211;Araba/Álava;;;;;;;;;;;;2;0;0;1;
ES212;Bizkaia;;;;;;;;;;;;0;0;1;0;
ES213;Gipuzkoa;;;;;;;;;;;;3;1;1;1;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;16;13;14;9;
ES611;Almería;;;;;;;;;;;;1;2;0;0;
ES612;Cádiz;;;;;;;;;;;;2;2;2;2;
ES613;Córdoba;;;;;;;;;;;;4;1;0;3;
ES614;Granada;;;;;;;;;;;;2;2;2;1;
ES615;Huelva;;;;;;;;;;;;0;1;1;1;
ES616;Jaén;;;;;;;;;;;;2;3;1;1;
ES617;Málaga;;;;;;;;;;;;1;1;1;3;
ES618;Sevilla;;;;;;;;;;;;3;7;4;4;
ES241;Huesca;;;;;;;;;;;;1;0;0;0;
ES242;Teruel;;;;;;;;;;;;0;0;0;1;
ES243;Zaragoza;;;;;;;;;;;;1;1;0;1;
ES120;Asturias;;;;;;;;;;;;1;3;0;5;
ES705;Las Palmas;;;;;;;;;;;;0;0;2;1;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;2;5;0;0;
ES130;Cantabria;;;;;;;;;;;;1;0;1;4;
ES421;Albacete;;;;;;;;;;;;0;2;0;0;
ES422;Ciudad Real;;;;;;;;;;;;0;2;0;1;
ES423;Cuenca;;;;;;;;;;;;0;0;0;0;
ES424;Guadalajara;;;;;;;;;;;;1;0;0;0;
ES425;Toledo;;;;;;;;;;;;0;0;1;1;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;8;0;0;0;
ES413;León;;;;;;;;;;;;2;1;1;2;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;2;0;0;1;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;2;3;5;2;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;11;16;11;6;
ES512;Girona;;;;;;;;;;;;2;3;2;0;
ES513;Lleida;;;;;;;;;;;;0;0;2;0;
ES514;Tarragona;;;;;;;;;;;;2;0;0;0;
ES521;Alicante;;;;;;;;;;;;3;7;5;9;
