Nuts Prov;Provincia;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;SUMA
ES522;Castellón;;;;;;;;;;;;1;3;2;4;
ES523;Valencia;;;;;;;;;;;;13;10;10;8;
ES431;Badajoz;;;;;;;;;;;;4;1;0;0;
ES432;Cáceres;;;;;;;;;;;;0;1;0;1;
ES111;A Coruña;;;;;;;;;;;;2;5;2;6;
ES112;Lugo;;;;;;;;;;;;0;0;0;0;
ES113;Ourense;;;;;;;;;;;;0;2;0;0;
ES114;Pontevedra;;;;;;;;;;;;2;4;3;1;
ES532;Illes Balears;;;;;;;;;;;;0;3;0;2;
ES230;La Rioja;;;;;;;;;;;;2;2;0;0;
ES300;Madrid;;;;;;;;;;;;37;23;27;24;
ES620;Murcia;;;;;;;;;;;;6;5;7;6;
ES220;Navarra;;;;;;;;;;;;1;4;1;1;
ES211;Araba/Álava;;;;;;;;;;;;0;3;1;0;
ES212;Bizkaia;;;;;;;;;;;;4;1;4;3;
ES213;Gipuzkoa;;;;;;;;;;;;2;1;1;1;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;14;13;65;10;
ES611;Almería;;;;;;;;;;;;2;1;3;0;
ES612;Cádiz;;;;;;;;;;;;4;2;1;2;
ES613;Córdoba;;;;;;;;;;;;2;2;2;1;
ES614;Granada;;;;;;;;;;;;5;1;2;1;
ES615;Huelva;;;;;;;;;;;;0;2;0;0;
ES616;Jaén;;;;;;;;;;;;1;1;0;0;
ES617;Málaga;;;;;;;;;;;;7;1;1;4;
ES618;Sevilla;;;;;;;;;;;;2;3;9;4;
ES241;Huesca;;;;;;;;;;;;1;0;0;0;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;2;1;0;0;
ES120;Asturias;;;;;;;;;;;;5;3;4;1;
ES705;Las Palmas;;;;;;;;;;;;2;2;2;0;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;0;0;1;
ES130;Cantabria;;;;;;;;;;;;3;1;0;1;
ES421;Albacete;;;;;;;;;;;;2;0;0;0;
ES422;Ciudad Real;;;;;;;;;;;;1;1;1;0;
ES423;Cuenca;;;;;;;;;;;;0;0;0;1;
ES424;Guadalajara;;;;;;;;;;;;0;0;0;1;
ES425;Toledo;;;;;;;;;;;;1;1;0;0;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;7;2;0;0;
ES413;León;;;;;;;;;;;;2;3;0;0;
ES414;Palencia;;;;;;;;;;;;0;1;0;0;
ES415;Salamanca;;;;;;;;;;;;0;1;0;1;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;3;1;6;1;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;13;16;18;15;
ES512;Girona;;;;;;;;;;;;2;3;1;1;
ES513;Lleida;;;;;;;;;;;;1;0;0;2;
ES514;Tarragona;;;;;;;;;;;;2;1;0;2;
ES521;Alicante;;;;;;;;;;;;6;6;14;10;
ES522;Castellón;;;;;;;;;;;;3;4;3;1;
ES523;Valencia;;;;;;;;;;;;17;10;11;13;
ES431;Badajoz;;;;;;;;;;;;2;0;0;0;
ES432;Cáceres;;;;;;;;;;;;0;0;0;0;
ES111;A Coruña;;;;;;;;;;;;0;2;4;0;
ES112;Lugo;;;;;;;;;;;;0;0;2;0;
ES113;Ourense;;;;;;;;;;;;0;1;0;0;
ES114;Pontevedra;;;;;;;;;;;;1;1;1;4;
ES532;Illes Balears;;;;;;;;;;;;1;0;0;0;
ES230;La Rioja;;;;;;;;;;;;1;2;0;1;
ES300;Madrid;;;;;;;;;;;;30;36;29;23;
ES620;Murcia;;;;;;;;;;;;2;4;6;5;
ES220;Navarra;;;;;;;;;;;;3;2;2;6;
ES211;Araba/Álava;;;;;;;;;;;;2;2;0;0;
ES212;Bizkaia;;;;;;;;;;;;5;3;1;2;
ES213;Gipuzkoa;;;;;;;;;;;;6;0;0;3;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;1;0;0;
;No residentes ES;;;;;;;;;;;;13;8;32;7;
ES611;Almería;;;;;;;;;;;;0;1;0;0;
ES612;Cádiz;;;;;;;;;;;;0;1;1;2;
ES613;Córdoba;;;;;;;;;;;;1;0;0;1;
ES614;Granada;;;;;;;;;;;;3;2;0;2;
ES615;Huelva;;;;;;;;;;;;0;0;0;0;
ES616;Jaén;;;;;;;;;;;;1;1;3;1;
ES617;Málaga;;;;;;;;;;;;0;1;2;2;
ES618;Sevilla;;;;;;;;;;;;3;2;0;3;
ES241;Huesca;;;;;;;;;;;;0;2;1;1;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;0;1;3;2;
ES120;Asturias;;;;;;;;;;;;1;5;3;0;
ES705;Las Palmas;;;;;;;;;;;;0;0;0;0;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;0;0;0;
ES130;Cantabria;;;;;;;;;;;;1;1;2;0;
ES421;Albacete;;;;;;;;;;;;1;0;0;0;
ES422;Ciudad Real;;;;;;;;;;;;0;0;0;0;
ES423;Cuenca;;;;;;;;;;;;0;0;1;0;
ES424;Guadalajara;;;;;;;;;;;;0;0;0;0;
ES425;Toledo;;;;;;;;;;;;0;0;1;1;
ES411;Ávila;;;;;;;;;;;;1;0;0;0;
ES412;Burgos;;;;;;;;;;;;6;0;0;0;
ES413;León;;;;;;;;;;;;1;0;0;2;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;0;1;1;0;
ES416;Segovia;;;;;;;;;;;;0;1;0;0;
ES417;Soria;;;;;;;;;;;;0;0;1;0;
ES418;Valladolid;;;;;;;;;;;;3;0;1;0;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;8;13;3;1;
ES512;Girona;;;;;;;;;;;;2;0;1;0;
ES513;Lleida;;;;;;;;;;;;0;0;0;0;
ES514;Tarragona;;;;;;;;;;;;1;0;1;1;
ES521;Alicante;;;;;;;;;;;;6;4;3;6;
ES522;Castellón;;;;;;;;;;;;1;0;0;0;
ES523;Valencia;;;;;;;;;;;;5;7;7;5;
ES431;Badajoz;;;;;;;;;;;;2;0;0;1;
ES432;Cáceres;;;;;;;;;;;;1;0;0;0;
ES111;A Coruña;;;;;;;;;;;;1;2;1;1;
ES112;Lugo;;;;;;;;;;;;0;0;1;0;
ES113;Ourense;;;;;;;;;;;;0;0;0;0;
ES114;Pontevedra;;;;;;;;;;;;0;1;2;0;
ES532;Illes Balears;;;;;;;;;;;;1;4;1;0;
ES230;La Rioja;;;;;;;;;;;;0;0;0;0;
ES300;Madrid;;;;;;;;;;;;11;9;14;12;
ES620;Murcia;;;;;;;;;;;;1;1;1;3;
ES220;Navarra;;;;;;;;;;;;3;5;3;1;
ES211;Araba/Álava;;;;;;;;;;;;0;1;0;0;
ES212;Bizkaia;;;;;;;;;;;;2;2;2;3;
ES213;Gipuzkoa;;;;;;;;;;;;0;2;1;0;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;9;15;9;8;
ES611;Almería;;;;;;;;;;;;0;1;1;1;
ES612;Cádiz;;;;;;;;;;;;3;1;2;1;
ES613;Córdoba;;;;;;;;;;;;0;0;1;1;
ES614;Granada;;;;;;;;;;;;1;0;2;1;
ES615;Huelva;;;;;;;;;;;;3;0;1;0;
ES616;Jaén;;;;;;;;;;;;2;0;1;3;
ES617;Málaga;;;;;;;;;;;;1;2;1;0;
ES618;Sevilla;;;;;;;;;;;;5;2;2;1;
ES241;Huesca;;;;;;;;;;;;0;1;0;0;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;2;1;0;0;
ES120;Asturias;;;;;;;;;;;;3;3;1;3;
ES705;Las Palmas;;;;;;;;;;;;1;0;2;1;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;2;2;0;0;
ES130;Cantabria;;;;;;;;;;;;1;1;0;1;
ES421;Albacete;;;;;;;;;;;;1;0;0;1;
ES422;Ciudad Real;;;;;;;;;;;;0;0;0;1;
ES423;Cuenca;;;;;;;;;;;;0;0;0;0;
ES424;Guadalajara;;;;;;;;;;;;1;0;0;0;
ES425;Toledo;;;;;;;;;;;;0;1;0;0;
ES411;Ávila;;;;;;;;;;;;0;0;0;1;
ES412;Burgos;;;;;;;;;;;;2;2;1;0;
ES413;León;;;;;;;;;;;;2;0;1;0;
ES414;Palencia;;;;;;;;;;;;0;0;1;0;
ES415;Salamanca;;;;;;;;;;;;0;0;2;0;
ES416;Segovia;;;;;;;;;;;;0;0;1;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;5;1;8;0;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;11;9;6;9;
ES512;Girona;;;;;;;;;;;;2;1;1;0;
ES513;Lleida;;;;;;;;;;;;0;0;1;0;
ES514;Tarragona;;;;;;;;;;;;0;1;1;5;
ES521;Alicante;;;;;;;;;;;;3;4;3;6;
ES522;Castellón;;;;;;;;;;;;1;1;0;1;
ES523;Valencia;;;;;;;;;;;;11;7;5;9;
ES431;Badajoz;;;;;;;;;;;;0;0;1;1;
ES432;Cáceres;;;;;;;;;;;;0;0;0;0;
ES111;A Coruña;;;;;;;;;;;;0;1;1;3;
ES112;Lugo;;;;;;;;;;;;0;1;0;0;
ES113;Ourense;;;;;;;;;;;;0;0;0;1;
ES114;Pontevedra;;;;;;;;;;;;2;3;0;2;
ES532;Illes Balears;;;;;;;;;;;;1;0;0;1;
ES230;La Rioja;;;;;;;;;;;;1;0;2;0;
ES300;Madrid;;;;;;;;;;;;16;15;34;32;
ES620;Murcia;;;;;;;;;;;;8;2;2;2;
ES220;Navarra;;;;;;;;;;;;3;3;2;2;
ES211;Araba/Álava;;;;;;;;;;;;3;1;0;1;
ES212;Bizkaia;;;;;;;;;;;;5;3;2;1;
ES213;Gipuzkoa;;;;;;;;;;;;1;0;1;1;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;14;11;24;18;
ES611;Almería;;;;;;;;;;;;1;1;2;1;
ES612;Cádiz;;;;;;;;;;;;0;1;2;2;
ES613;Córdoba;;;;;;;;;;;;1;2;1;1;
ES614;Granada;;;;;;;;;;;;3;0;0;1;
ES615;Huelva;;;;;;;;;;;;0;1;0;1;
ES616;Jaén;;;;;;;;;;;;0;1;3;0;
ES617;Málaga;;;;;;;;;;;;3;1;2;4;
ES618;Sevilla;;;;;;;;;;;;2;6;3;6;
ES241;Huesca;;;;;;;;;;;;1;0;0;2;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;0;0;1;2;
ES120;Asturias;;;;;;;;;;;;1;2;0;1;
ES705;Las Palmas;;;;;;;;;;;;0;3;0;1;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;1;1;0;2;
ES130;Cantabria;;;;;;;;;;;;2;1;0;5;
ES421;Albacete;;;;;;;;;;;;0;1;0;2;
ES422;Ciudad Real;;;;;;;;;;;;2;1;0;0;
ES423;Cuenca;;;;;;;;;;;;1;1;0;0;
ES424;Guadalajara;;;;;;;;;;;;1;0;0;0;
ES425;Toledo;;;;;;;;;;;;0;0;0;1;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;1;0;1;1;
ES413;León;;;;;;;;;;;;1;0;0;0;
ES414;Palencia;;;;;;;;;;;;0;0;0;0;
ES415;Salamanca;;;;;;;;;;;;0;2;0;0;
ES416;Segovia;;;;;;;;;;;;0;1;0;0;
ES417;Soria;;;;;;;;;;;;1;0;0;0;
ES418;Valladolid;;;;;;;;;;;;8;6;2;0;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;20;13;8;16;
ES512;Girona;;;;;;;;;;;;1;1;0;2;
ES513;Lleida;;;;;;;;;;;;1;2;0;0;
ES514;Tarragona;;;;;;;;;;;;0;2;2;0;
ES521;Alicante;;;;;;;;;;;;3;8;4;5;
ES522;Castellón;;;;;;;;;;;;1;0;1;0;
ES523;Valencia;;;;;;;;;;;;13;5;7;8;
ES431;Badajoz;;;;;;;;;;;;1;0;0;0;
ES432;Cáceres;;;;;;;;;;;;0;0;0;1;
ES111;A Coruña;;;;;;;;;;;;4;0;0;4;
ES112;Lugo;;;;;;;;;;;;0;0;0;1;
ES113;Ourense;;;;;;;;;;;;0;0;0;0;
ES114;Pontevedra;;;;;;;;;;;;3;3;2;3;
ES532;Illes Balears;;;;;;;;;;;;1;1;0;0;
ES230;La Rioja;;;;;;;;;;;;2;1;0;1;
ES300;Madrid;;;;;;;;;;;;23;18;27;28;
ES620;Murcia;;;;;;;;;;;;4;2;0;2;
ES220;Navarra;;;;;;;;;;;;2;3;3;2;
ES211;Araba/Álava;;;;;;;;;;;;0;1;1;2;
ES212;Bizkaia;;;;;;;;;;;;3;1;4;3;
ES213;Gipuzkoa;;;;;;;;;;;;5;4;0;1;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;10;21;43;10;
ES611;Almería;;;;;;;;;;;;1;2;1;5;
ES612;Cádiz;;;;;;;;;;;;0;3;1;2;
ES613;Córdoba;;;;;;;;;;;;0;1;4;0;
ES614;Granada;;;;;;;;;;;;0;2;2;2;
ES615;Huelva;;;;;;;;;;;;1;0;1;0;
ES616;Jaén;;;;;;;;;;;;1;0;3;3;
ES617;Málaga;;;;;;;;;;;;0;5;5;0;
ES618;Sevilla;;;;;;;;;;;;5;2;4;6;
ES241;Huesca;;;;;;;;;;;;0;0;0;1;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;3;1;1;3;
ES120;Asturias;;;;;;;;;;;;1;0;1;2;
ES705;Las Palmas;;;;;;;;;;;;0;1;0;0;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;0;1;2;1;
ES130;Cantabria;;;;;;;;;;;;2;0;0;2;
ES421;Albacete;;;;;;;;;;;;0;0;0;0;
ES422;Ciudad Real;;;;;;;;;;;;0;0;0;0;
ES423;Cuenca;;;;;;;;;;;;0;0;0;0;
ES424;Guadalajara;;;;;;;;;;;;0;0;0;1;
ES425;Toledo;;;;;;;;;;;;0;0;0;1;
ES411;Ávila;;;;;;;;;;;;0;0;0;0;
ES412;Burgos;;;;;;;;;;;;2;2;3;0;
ES413;León;;;;;;;;;;;;0;2;1;1;
ES414;Palencia;;;;;;;;;;;;0;0;1;0;
ES415;Salamanca;;;;;;;;;;;;1;1;0;0;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;1;7;4;2;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;15;11;17;12;
ES512;Girona;;;;;;;;;;;;0;1;2;1;
ES513;Lleida;;;;;;;;;;;;0;3;0;0;
ES514;Tarragona;;;;;;;;;;;;3;1;0;0;
ES521;Alicante;;;;;;;;;;;;4;3;6;7;
ES522;Castellón;;;;;;;;;;;;5;0;1;1;
ES523;Valencia;;;;;;;;;;;;9;3;14;7;
ES431;Badajoz;;;;;;;;;;;;3;1;0;0;
ES432;Cáceres;;;;;;;;;;;;0;0;0;1;
ES111;A Coruña;;;;;;;;;;;;2;1;4;1;
ES112;Lugo;;;;;;;;;;;;0;0;0;2;
ES113;Ourense;;;;;;;;;;;;1;0;0;0;
ES114;Pontevedra;;;;;;;;;;;;2;1;3;4;
ES532;Illes Balears;;;;;;;;;;;;1;1;1;0;
ES230;La Rioja;;;;;;;;;;;;1;2;0;1;
ES300;Madrid;;;;;;;;;;;;17;16;16;24;
ES620;Murcia;;;;;;;;;;;;5;6;7;5;
ES220;Navarra;;;;;;;;;;;;0;5;2;4;
ES211;Araba/Álava;;;;;;;;;;;;0;0;1;0;
ES212;Bizkaia;;;;;;;;;;;;4;3;4;1;
ES213;Gipuzkoa;;;;;;;;;;;;1;1;1;4;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;8;15;28;11;
ES611;Almería;;;;;;;;;;;;0;3;0;5;
ES612;Cádiz;;;;;;;;;;;;2;3;1;3;
ES613;Córdoba;;;;;;;;;;;;0;0;2;3;
ES614;Granada;;;;;;;;;;;;1;1;1;3;
ES615;Huelva;;;;;;;;;;;;1;0;0;2;
ES616;Jaén;;;;;;;;;;;;2;2;0;1;
ES617;Málaga;;;;;;;;;;;;0;2;2;2;
ES618;Sevilla;;;;;;;;;;;;5;4;6;5;
ES241;Huesca;;;;;;;;;;;;1;0;0;1;
ES242;Teruel;;;;;;;;;;;;0;0;0;0;
ES243;Zaragoza;;;;;;;;;;;;0;1;0;0;
ES120;Asturias;;;;;;;;;;;;0;0;3;0;
ES705;Las Palmas;;;;;;;;;;;;0;2;2;0;
ES709;Santa Cruz de Tenerife;;;;;;;;;;;;2;2;1;1;
ES130;Cantabria;;;;;;;;;;;;2;0;0;1;
ES421;Albacete;;;;;;;;;;;;1;1;1;0;
ES422;Ciudad Real;;;;;;;;;;;;0;1;1;0;
ES423;Cuenca;;;;;;;;;;;;0;0;0;1;
ES424;Guadalajara;;;;;;;;;;;;0;0;0;0;
ES425;Toledo;;;;;;;;;;;;0;1;0;0;
ES411;Ávila;;;;;;;;;;;;1;0;0;0;
ES412;Burgos;;;;;;;;;;;;2;0;1;0;
ES413;León;;;;;;;;;;;;1;3;0;0;
ES414;Palencia;;;;;;;;;;;;1;0;0;0;
ES415;Salamanca;;;;;;;;;;;;1;2;1;2;
ES416;Segovia;;;;;;;;;;;;0;0;0;0;
ES417;Soria;;;;;;;;;;;;0;0;0;0;
ES418;Valladolid;;;;;;;;;;;;3;3;1;2;
ES419;Zamora;;;;;;;;;;;;0;0;0;0;
ES511;Barcelona;;;;;;;;;;;;10;7;13;22;
ES512;Girona;;;;;;;;;;;;0;0;1;3;
ES513;Lleida;;;;;;;;;;;;0;1;2;0;
ES514;Tarragona;;;;;;;;;;;;0;1;0;0;
ES521;Alicante;;;;;;;;;;;;13;7;5;11;
ES522;Castellón;;;;;;;;;;;;2;2;2;2;
ES523;Valencia;;;;;;;;;;;;25;10;7;9;
ES431;Badajoz;;;;;;;;;;;;1;0;0;1;
ES432;Cáceres;;;;;;;;;;;;0;1;0;0;
ES111;A Coruña;;;;;;;;;;;;5;3;3;2;
ES112;Lugo;;;;;;;;;;;;1;0;0;0;
ES113;Ourense;;;;;;;;;;;;0;0;0;0;
ES114;Pontevedra;;;;;;;;;;;;2;5;1;3;
ES532;Illes Balears;;;;;;;;;;;;0;0;1;2;
ES230;La Rioja;;;;;;;;;;;;0;0;0;0;
ES300;Madrid;;;;;;;;;;;;36;26;29;30;
ES620;Murcia;;;;;;;;;;;;6;2;4;5;
ES220;Navarra;;;;;;;;;;;;4;0;2;2;
ES211;Araba/Álava;;;;;;;;;;;;1;1;0;2;
ES212;Bizkaia;;;;;;;;;;;;2;1;3;1;
ES213;Gipuzkoa;;;;;;;;;;;;3;2;1;1;
ES630;Ceuta;;;;;;;;;;;;0;0;0;0;
ES640;Melilla;;;;;;;;;;;;0;0;0;0;
;No residentes ES;;;;;;;;;;;;5;7;95;10;
